Time [min],T [K]
0.0,297.9994378191094
0.1,298.0812204179281
0.2,297.86572628847034
0.3,298.34732820888934
0.4,298.1299717836208
0.5,298.0002800257144
0.6,298.1694244360193
0.7,298.19026050825374
0.8,298.2099774742429
0.9,298.50620847708404
1.0,298.36570738816
1.1,298.4312553601134
1.2,298.4205935011153
1.3,298.44050115766777
1.4,298.48200552597103
1.5,298.5907425558066
1.6,298.4281538764232
1.7,298.50252025592886
1.8,298.57124116736514
1.9,298.45472877434696
2.0,298.4828312563219
2.1,299.6227048190893
2.2,299.93207553245327
2.3,300.2623258190303
2.4,300.6654459361305
2.5,300.953566494897
2.6,301.0648153082146
2.7,301.35651174702565
2.8,301.3832990476601
2.9,301.4026135566736
3.0,301.42481372181055
3.1,301.6663086737198
3.2,301.55927886705496
3.3,301.61095760830005
3.4,301.7440628594586
3.5,301.7538328681226
3.6,301.85538909103525
3.7,301.8109691696847
3.8,301.8754247328195
3.9,301.8562583760408
4.0,302.04178493453765
4.1,302.0194914282393
4.2,302.0964547102678
4.3,301.8298901265737
4.4,301.9408462324018
4.5,302.03789089510514
4.6,302.1084597305162
4.7,302.1511990885118
4.8,302.11785499379835
4.9,302.19675530848633
